2021-04-13 12:58:41.475 | INFO     | __main__:run:49 - Running the thread!
2021-04-13 12:58:42.476 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:43.478 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:44.480 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:45.482 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:46.484 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:47.486 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:48.487 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:49.489 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:50.491 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:51.493 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:52.495 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:53.497 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:54.499 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:55.501 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:56.503 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:57.505 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:58.506 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:58:59.508 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:00.510 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:01.512 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:02.513 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:03.516 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:04.518 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:05.519 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:06.522 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:07.524 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:08.526 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:09.528 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:10.530 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:11.532 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:12.534 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:13.536 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:14.537 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:15.539 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:16.541 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:17.543 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:18.545 | INFO     | __main__:run:52 - Hello world
2021-04-13 12:59:19.547 | INFO     | __main__:run:52 - Hello world
